GENUS,APGIII_FAMILY,STATUS
Acrisione,Asteraceae,Accepted by TPL
Acritochaete,Poaceae,Accepted by TPL
Acritodon,Sematophyllaceae,Accepted by TPL
Acritopappus,Asteraceae,Accepted by TPL
Acriulus,Cyperaceae,Unresolved at TPL
Acroblastum,Balanophoraceae,Unresolved at TPL
Acrobolbaceae,Acrobolbaceae,Accepted by TPL
Acrobolbus,Acrobolbaceae,Accepted by TPL
Acrobotrys,Rubiaceae,Accepted by TPL
Acrocarpidium,Piperaceae,Unresolved at TPL
Acrocarpus,Fabaceae,Accepted by TPL
Acrocentron,Asteraceae,Unresolved at TPL
Acrocephalus,Lamiaceae,Unresolved at TPL
Acroceras,Poaceae,Accepted by TPL
Acrochaene,Orchidaceae,Accepted by TPL
Acrochila,Plagiochilaceae,Accepted by TPL
Acrocladiopsis,Plagiotheciaceae,Accepted by TPL
Acrocladium,Amblystegiaceae,Accepted by TPL
Acroclinium,Asteraceae,Unresolved at TPL
Acrocomia,Arecaceae,Accepted by TPL
Acrocoryne,Apocynaceae,Unresolved at TPL
Acrocryphaea,Cryphaeaceae,Accepted by TPL
Acrodiclidium,Lauraceae,Unresolved at TPL
Acrodon,Aizoaceae,Accepted by TPL
Acroglochin,Amaranthaceae,Accepted by TPL
Acroglyphe,Apiaceae,Unresolved at TPL
Acrolasia,Loasaceae,Unresolved at TPL
Acrolejeunea,Lejeuneaceae,Accepted by TPL
Acrolophia,Orchidaceae,Accepted by TPL
Acrolophozia,Gymnomitriaceae,Accepted by TPL
Acromastigum,Lepidoziaceae,Accepted by TPL
Acronema,Apiaceae,Accepted by TPL
Acronia,Orchidaceae,Unresolved at TPL
Acronychia,Rutaceae,Accepted by TPL
Acropelta,Dryopteridaceae,Accepted by TPL
Acrophorus,Dryopteridaceae,Accepted by TPL
Acrophyllum,Cunoniaceae,Accepted by TPL
Acropodium,Fabaceae,Unresolved at TPL
Acropogon,Malvaceae,Accepted by TPL
Acroporium,Sematophyllaceae,Accepted by TPL
Acropteris,Pteridaceae,Accepted by TPL
Acropterygium,Gleicheniaceae,Unresolved at TPL
Acroptilon,Asteraceae,Liu et al.(2015)
Acrorchis,Orchidaceae,Accepted by TPL
Acrorumohra,Dryopteridaceae,Accepted by TPL
Acrosanthes,Aizoaceae,Accepted by TPL
