GENUS,APGIII_FAMILY,STATUS
Mesochaete,Rhizogoniaceae,Accepted by TPL
Mesochlaena,Thelypteridaceae,Unresolved at TPL
Mesodetra,Asteraceae,Unresolved at TPL
Mesogramma,Asteraceae,Accepted by TPL
Mesogyne,Moraceae,Accepted by TPL
Mesomelaena,Cyperaceae,Accepted by TPL
Mesona,Lamiaceae,Liu et al.(2015)
Mesoneuris,Asteraceae,Accepted by TPL
Mesoneuron,Thelypteridaceae,Accepted by TPL
Mesonodon,Entodontaceae,Accepted by TPL
Mesophlebion,Thelypteridaceae,Accepted by TPL
Mesopteris,Thelypteridaceae,Accepted by TPL
Mesoptychia,Mesoptychiaceae,Accepted by TPL
Mesoptychiaceae,Mesoptychiaceae,Accepted by TPL
Mesosetum,Poaceae,Accepted by TPL
Mesosorus,Gleicheniaceae,Unresolved at TPL
Mesosphaerum,Lamiaceae,Unresolved at TPL
Mesospinidium,Orchidaceae,Unresolved at TPL
Mesostemma,Caryophyllaceae,Accepted by TPL
Mesothema,Blechnaceae,Accepted by TPL
Mesotus,Dicranaceae,Accepted by TPL
Mespilodaphne,Lauraceae,Accepted by TPL
Mespilus,Rosaceae,Accepted by TPL
Messerschmidia,Boraginaceae,Unresolved at TPL
Mestoklema,Aizoaceae,Accepted by TPL
Mesua,Calophyllaceae,Accepted by TPL
Mesyniopsis,Linaceae,Accepted by TPL
Mesynium,Linaceae,Accepted by TPL
Metabasis,Asteraceae,Unresolved at TPL
Metabolos,Rubiaceae,Accepted by TPL
Metabriggsia,Gesneriaceae,Liu et al.(2015)
Metacalypogeia,Calypogeiaceae,Accepted by TPL
Metadina,Rubiaceae,Accepted by TPL
Metadistichophyllum,Hookeriaceae,Accepted by TPL
Metaeritrichium,Boraginaceae,Accepted by TPL
Metagentiana,Gentianaceae,Unresolved at TPL
Metagnanthus,Asteraceae,Unresolved at TPL
Metagonia,Ericaceae,Accepted by TPL
Metahygrobiella,Cephaloziaceae,Accepted by TPL
Metalasia,Asteraceae,Accepted by TPL
Metalejeunea,Lejeuneaceae,Accepted by TPL
Metalepis,Apocynaceae,Accepted by TPL
Metalonicera,Caprifoliaceae,Accepted by TPL
Metanarthecium,Nartheciaceae,Accepted by TPL
Metaneckera,Neckeraceae,Accepted by TPL
Metanemone,Ranunculaceae,Accepted by TPL
Metapanax,Araliaceae,Accepted by TPL
Metapetrocosmea,Gesneriaceae,Accepted by TPL
Metaplexis,Apocynaceae,Accepted by TPL
Metapolypodium,Polypodiaceae,Accepted by TPL
Metaporana,Convolvulaceae,Accepted by TPL
Metarungia,Acanthaceae,Accepted by TPL
Metasasa,Poaceae,Liu et al.(2015)
Metasequoia,Cupressaceae,Accepted by TPL
Metastachydium,Lamiaceae,Accepted by TPL
Metastelma,Apocynaceae,Accepted by TPL
Metastevia,Asteraceae,Accepted by TPL
Metathelypteris,Thelypteridaceae,Accepted by TPL
Metatrophis,Urticaceae,Unresolved at TPL
Metaxya,Metaxyaceae,Accepted by TPL
Metaxyaceae,Metaxyaceae,Accepted by TPL
Metcalfia,Poaceae,Accepted by TPL
Meteoriaceae,Meteoriaceae,Accepted by TPL
Meteoridium,Meteoriaceae,Accepted by TPL
Meteoriella,Pterobryaceae,Accepted by TPL
Meteorina,Asteraceae,Unresolved at TPL
Meteoriopsis,Meteoriaceae,Accepted by TPL
Meteorium,Meteoriaceae,Accepted by TPL
Meteoromyrtus,Myrtaceae,Accepted by TPL
Meterana,Euphorbiaceae,Unresolved at TPL
Meterostachys,Crassulaceae,Accepted by TPL
Metharme,Zygophyllaceae,Accepted by TPL
Methyscophyllum,Celastraceae,Unresolved at TPL
Methysticum,Piperaceae,Unresolved at TPL
Metopium,Anacardiaceae,Accepted by TPL
Metrodorea,Rutaceae,Accepted by TPL
Metrosideros,Myrtaceae,Accepted by TPL
Metroxylon,Arecaceae,Accepted by TPL
Metteniusa,Metteniusaceae,Accepted by TPL
Metteniusaceae,Metteniusaceae,Accepted by TPL
Metternichia,Solanaceae,Accepted by TPL
Metzgeria,Metzgeriaceae,Accepted by TPL
Metzgeriaceae,Metzgeriaceae,Accepted by TPL
Metzgeriopsis,Lejeuneaceae,Unresolved at TPL
Metzlerella,Dicranaceae,Accepted by TPL
Metzleria,Dicranaceae,Accepted by TPL
Meum,Apiaceae,Accepted by TPL
Mexacanthus,Acanthaceae,Accepted by TPL
Mexerion,Asteraceae,Accepted by TPL
Mexianthus,Asteraceae,Accepted by TPL
Meximalva,Malvaceae,Accepted by TPL
Mexipedium,Orchidaceae,Accepted by TPL
Mexotis,Rubiaceae,Accepted by TPL
Meyenia,Solanaceae,Accepted by TPL
Meyenia,Acanthaceae,Unresolved at TPL
Meyenia,Cactaceae,Unresolved at TPL
Meyerafra,Asteraceae,Unresolved at TPL
Meyeria,Asteraceae,Unresolved at TPL
Meyerocactus,Cactaceae,Liu et al.(2015)
Meyerophytum,Aizoaceae,Accepted by TPL
Meyna,Rubiaceae,Accepted by TPL
Mezia,Malpighiaceae,Accepted by TPL
Meziella,Haloragaceae,Accepted by TPL
Mezilaurus,Lauraceae,Accepted by TPL
Mezobromelia,Bromeliaceae,Accepted by TPL
Mezoneuron,Fabaceae,Unresolved at TPL
Mezoneurum,Fabaceae,Accepted by TPL
Mezonevron,Fabaceae,Accepted by TPL
Mezzettia,Annonaceae,Accepted by TPL
Mezzettiopsis,Annonaceae,Accepted by TPL
Mibora,Poaceae,Accepted by TPL
Michauxia,Campanulaceae,Accepted by TPL
Michelia,Magnoliaceae,Accepted by TPL
Micheliopsis,Magnoliaceae,Liu et al.(2015)
Michelsonia,Fabaceae,Accepted by TPL
Micholitzia,Apocynaceae,Accepted by TPL
Mickelia,Dryopteridacae,Accepted by TPL
Micklethwaitia,Fabaceae,Unresolved at TPL
Miconia,Melastomataceae,Accepted by TPL
Miconiastrum,Melastomataceae,Unresolved at TPL
Micractis,Asteraceae,Accepted by TPL
Micraira,Poaceae,Accepted by TPL
Micralsopsis,Pterobryaceae,Accepted by TPL
Micrampelis,Cucurbitaceae,Accepted by TPL
Micrandra,Euphorbiaceae,Accepted by TPL
Micrandropsis,Euphorbiaceae,Accepted by TPL
Micrantha,Brassicaceae,Unresolved at TPL
Micranthella,Melastomataceae,Unresolved at TPL
Micranthemum,Plantaginaceae,Accepted by TPL
Micranthes,Saxifragaceae,Accepted by TPL
Micrantheum,Picrodendraceae,Accepted by TPL
Micranthocereus,Cactaceae,Accepted by TPL
Micranthus,Iridaceae,Accepted by TPL
Micranthus,Acanthaceae,Unresolved at TPL
Micrargeria,Orobanchaceae,Accepted by TPL
Micrargeriella,Orobanchaceae,Accepted by TPL
Micrasepalum,Rubiaceae,Accepted by TPL
Micrauchenia,Asteraceae,Unresolved at TPL
Micrechites,Apocynaceae,Accepted by TPL
Micrelium,Asteraceae,Unresolved at TPL
Micrisophylla,Lepidoziaceae,Accepted by TPL
Microbahia,Asteraceae,Accepted by TPL
Microberlinia,Fabaceae,Accepted by TPL
Microbiota,Cupressaceae,Accepted by TPL
Microblepharis,Passifloraceae,Unresolved at TPL
Microbriza,Poaceae,Accepted by TPL
Microbrochis,Tectariaceae,Accepted by TPL
Microbryum,Pottiaceae,Accepted by TPL
Microcachrys,Podocarpaceae,Accepted by TPL
Microcalamus,Poaceae,Accepted by TPL
Microcampylopus,Dicranaceae,Accepted by TPL
Microcarpaea,Phrymaceae,Accepted by TPL
Microcaryum,Boraginaceae,Accepted by TPL
Microcephala,Asteraceae,Accepted by TPL
Microcephalum,Asteraceae,Unresolved at TPL
Microcerasus,Rosaceae,Unresolved at TPL
Microchaeta,Asteraceae,Accepted by TPL
Microchaete,Asteraceae,Unresolved at TPL
Microcharis,Fabaceae,Accepted by TPL
Microchilus,Orchidaceae,Accepted by TPL
Microchirita,Gesneriaceae,Accepted by TPL
Microchloa,Poaceae,Accepted by TPL
Microcitrus,Rutaceae,Unresolved at TPL
Microclisia,Menispermaceae,Unresolved at TPL
Microcnemum,Amaranthaceae,Accepted by TPL
Micrococca,Euphorbiaceae,Accepted by TPL
Microcodon,Campanulaceae,Accepted by TPL
Microcoecia,Asteraceae,Unresolved at TPL
Microcoelia,Orchidaceae,Accepted by TPL
Microcoelum,Arecaceae,Liu et al.(2015)
Microcorys,Lamiaceae,Accepted by TPL
Microcos,Malvaceae,Accepted by TPL
Microcrossidium,Pottiaceae,Accepted by TPL
Microctenidium,Hypnaceae,Accepted by TPL
Microcybe,Rutaceae,Unresolved at TPL
Microcycas,Zamiaceae,Accepted by TPL
Microdactylon,Apocynaceae,Accepted by TPL
Microdendron,Polytrichaceae,Accepted by TPL
Microderis,Asteraceae,Unresolved at TPL
Microdesmis,Pandaceae,Accepted by TPL
Microdon,Scrophulariaceae,Accepted by TPL
Microdracoides,Cyperaceae,Accepted by TPL
Microdus,Dicranaceae,Accepted by TPL
Microepidendrum,Orchidaceae,Accepted by TPL
Microeurhynchium,Brachytheciaceae,Accepted by TPL
Microgilia,Polemoniaceae,Accepted by TPL
Microglossa,Asteraceae,Accepted by TPL
Microgonium,Hymenophyllaceae,Accepted by TPL
Microgramma,Polypodiaceae,Accepted by TPL
Microgyne,Asteraceae,Accepted by TPL
Microgynoecium,Amaranthaceae,Accepted by TPL
Microlaena,Poaceae,Unresolved at TPL
Microlagenaria,Cucurbitaceae,Accepted by TPL
Microlecane,Asteraceae,Accepted by TPL
Microlejeunea,Lejeuneaceae,Accepted by TPL
Microlepia,Dennstaedtiaceae,Accepted by TPL
Microlepidium,Brassicaceae,Accepted by TPL
Microlepidozia,Lepidoziaceae,Accepted by TPL
Microlepis,Melastomataceae,Accepted by TPL
Microliabum,Asteraceae,Accepted by TPL
Microlicia,Melastomataceae,Accepted by TPL
Microlobius,Fabaceae,Accepted by TPL
Microloma,Apocynaceae,Accepted by TPL
Microlonchus,Asteraceae,Unresolved at TPL
Microlophopsis,Asteraceae,Unresolved at TPL
Microlophus,Asteraceae,Unresolved at TPL
Micromeles,Rosaceae,Unresolved at TPL
Micromelum,Rutaceae,Accepted by TPL
Micromeria,Lamiaceae,Accepted by TPL
Micromitrium,Ephemeraceae,Accepted by TPL
Micromitrium,Orthotrichaceae,Accepted by TPL
Micromonolepis,Amaranthaceae,Accepted by TPL
Micromyrtus,Myrtaceae,Accepted by TPL
Micronychia,Anacardiaceae,Accepted by TPL
Microparacaryum,Boraginaceae,Accepted by TPL
Micropeplis,Amaranthaceae,Liu et al.(2015)
Micropera,Orchidaceae,Accepted by TPL
Micropetalon,Caryophyllaceae,Accepted by TPL
Microphilonotis,Bryaceae,Accepted by TPL
Microphoenix,Arecaceae,Unresolved at TPL
Micropholis,Sapotaceae,Accepted by TPL
Microphyes,Caryophyllaceae,Accepted by TPL
Microphysa,Rubiaceae,Accepted by TPL
Microphyton,Fabaceae,Unresolved at TPL
Micropiper,Piperaceae,Unresolved at TPL
Micropleura,Apiaceae,Accepted by TPL
Microplumeria,Apocynaceae,Accepted by TPL
Micropodium,Aspleniaceae,Accepted by TPL
Micropolypodium,Polypodiaceae,Accepted by TPL
Micropoma,Funariaceae,Accepted by TPL
Micropora,Lauraceae,Unresolved at TPL
Micropsis,Asteraceae,Accepted by TPL
Micropteris,Polypodiaceae,Unresolved at TPL
Micropterum,Aizoaceae,Accepted by TPL
Micropterygium,Lepidoziaceae,Accepted by TPL
Micropuntia,Cactaceae,Unresolved at TPL
Micropus,Asteraceae,Accepted by TPL
Micropyropsis,Poaceae,Accepted by TPL
Micropyrum,Poaceae,Accepted by TPL
Microrhamnus,Rhamnaceae,Unresolved at TPL
Microrhynchus,Asteraceae,Unresolved at TPL
Microrphium,Gentianaceae,Unresolved at TPL
Microrrhinum,Scrophulariaceae,Unresolved at TPL
Microsaccus,Orchidaceae,Accepted by TPL
Microschizaea,Schizaeaceae,Unresolved at TPL
Microsciadium,Apiaceae,Unresolved at TPL
Microsechium,Cucurbitaceae,Accepted by TPL
Microselinum,Apiaceae,Unresolved at TPL
Microseris,Asteraceae,Accepted by TPL
Microsisymbrium,Brassicaceae,Liu et al.(2015)
Microsorum,Polypodiaceae,Accepted by TPL
Microsperma,Loasaceae,Unresolved at TPL
Microspermia,Cactaceae,Unresolved at TPL
Microspermum,Asteraceae,Accepted by TPL
Microstachys,Euphorbiaceae,Accepted by TPL
Microstaphyla,Dryopteridaceae,Accepted by TPL
Microstegium,Poaceae,Accepted by TPL
Microsteira,Malpighiaceae,Accepted by TPL
Microstemma,Apocynaceae,Unresolved at TPL
Microstemon,Anacardiaceae,Unresolved at TPL
Microsteris,Polemoniaceae,Accepted by TPL
Microstigma,Brassicaceae,Accepted by TPL
Microstrobilus,Acanthaceae,Accepted by TPL
Microstylis,Orchidaceae,Unresolved at TPL
Microsyphus,Scrophulariaceae,Unresolved at TPL
Microtatorchis,Orchidaceae,Accepted by TPL
Microtea,Phytolaccaceae,Accepted by TPL
Microterangis,Orchidaceae,Accepted by TPL
Microterus,Polypodiaceae,Accepted by TPL
Microthamnium,Hypnaceae,Accepted by TPL
Microtheciella,Microtheciellaceae,Accepted by TPL
Microtheciellaceae,Microtheciellaceae,Accepted by TPL
Microthelys,Orchidaceae,Accepted by TPL
Microthlaspi,Brassicaceae,Accepted by TPL
Microthuidium,Thuidiaceae,Accepted by TPL
Microtinus,Caprifoliaceae,Unresolved at TPL
Microtis,Orchidaceae,Accepted by TPL
Microtoena,Lamiaceae,Accepted by TPL
Microtrichomanes,Hymenophyllaceae,Unresolved at TPL
Microtropis,Celastraceae,Accepted by TPL
Microula,Boraginaceae,Accepted by TPL
Microuratea,Ochnaceae,Unresolved at TPL
Mida,Santalaceae,Unresolved at TPL
Middendorfia,Lythraceae,Unresolved at TPL
Miediega,Fabaceae,Unresolved at TPL
Miehea,Hylocomiaceae,Accepted by TPL
Mielichhoferia,Bryaceae,Accepted by TPL
Miersia,Amaryllidaceae,Accepted by TPL
Miersiella,Burmanniaceae,Accepted by TPL
Mikania,Asteraceae,Accepted by TPL
Mikaniopsis,Asteraceae,Accepted by TPL
Mila,Cactaceae,Accepted by TPL
Mildbraedia,Euphorbiaceae,Unresolved at TPL
Mildbraediodendron,Fabaceae,Accepted by TPL
Mildea,Pottiaceae,Accepted by TPL
Mildeella,Pottiaceae,Accepted by TPL
Mildella,Pteridaceae,Accepted by TPL
Milhania,Convolvulaceae,Unresolved at TPL
Milicia,Moraceae,Accepted by TPL
Milium,Poaceae,Accepted by TPL
Miliusa,Annonaceae,Accepted by TPL
Milla,Asparagaceae,Accepted by TPL
Millania,Lythraceae,Unresolved at TPL
Millefolium,Asteraceae,Unresolved at TPL
Milleria,Asteraceae,Accepted by TPL
Milletia,Fabaceae,Unresolved at TPL
Millettia,Fabaceae,Accepted by TPL
Milligania,Asteliaceae,Accepted by TPL
Millina,Asteraceae,Accepted by TPL
Millingtonia,Bignoniaceae,Accepted by TPL
Millotia,Asteraceae,Accepted by TPL
Millspaughia,Polygonaceae,Accepted by TPL
Milnea,Meliaceae,Unresolved at TPL
Miltianthus,Zygophyllaceae,Unresolved at TPL
Miltitzia,Boraginaceae,Accepted by TPL
Miltonia,Orchidaceae,Accepted by TPL
Miltonidium,Orchidaceae,Accepted by TPL
Miltonidium,Orchidaceae,Unresolved at TPL
Miltoniopsis,Orchidaceae,Accepted by TPL
Milula,Amaryllidaceae,Liu et al.(2015)
Mimetanthe,Scrophulariaceae,Accepted by TPL
Mimetes,Proteaceae,Accepted by TPL
Mimetophytum,Aizoaceae,Unresolved at TPL
Mimophytum,Boraginaceae,Accepted by TPL
Mimosa,Fabaceae,Accepted by TPL
Mimosopsis,Fabaceae,Accepted by TPL
Mimozyganthus,Fabaceae,Accepted by TPL
Mimulicalyx,Phrymaceae,Accepted by TPL
Mimulopsis,Acanthaceae,Accepted by TPL
Mimulus,Phrymaceae,Accepted by TPL
Mimusops,Sapotaceae,Accepted by TPL
Mina,Convolvulaceae,Liu et al.(2015)
Minaria,Apocynaceae,Accepted by TPL
Minasia,Asteraceae,Accepted by TPL
Minkelersia,Fabaceae,Unresolved at TPL
Minquartia,Olacaceae,Accepted by TPL
Minthostachys,Lamiaceae,Accepted by TPL
Minuartia,Caryophyllaceae,Accepted by TPL
Minuria,Asteraceae,Accepted by TPL
Minythodes,Asteraceae,Unresolved at TPL
Mionandra,Malpighiaceae,Accepted by TPL
Miquelia,Icacinaceae,Accepted by TPL
Miquelina,Loranthaceae,Unresolved at TPL
Miqueliopuntia,Cactaceae,Accepted by TPL
Mirabella,Cactaceae,Liu et al.(2015)
Mirabilis,Nyctaginaceae,Accepted by TPL
Miradoria,Asteraceae,Unresolved at TPL
Miraglossum,Apocynaceae,Accepted by TPL
Mirandea,Acanthaceae,Accepted by TPL
Mirasolia,Asteraceae,Unresolved at TPL
Mirbelia,Fabaceae,Accepted by TPL
Mirbella,Fabaceae,Unresolved at TPL
Miricacalia,Asteraceae,Accepted by TPL
Mirkooa,Lythraceae,Unresolved at TPL
Mironia,Pottiaceae,Accepted by TPL
Mirtana,Menispermaceae,Unresolved at TPL
Misanteca,Lauraceae,Accepted by TPL
Misbrookea,Asteraceae,Accepted by TPL
Miscanteca,Lauraceae,Unresolved at TPL
Miscanthidium,Poaceae,Unresolved at TPL
Miscanthus,Poaceae,Accepted by TPL
Mischarytera,Sapindaceae,Accepted by TPL
Mischobulbum,Orchidaceae,Unresolved at TPL
Mischocarpus,Sapindaceae,Accepted by TPL
Mischocodon,Sapindaceae,Unresolved at TPL
Mischodon,Picrodendraceae,Accepted by TPL
Mischogyne,Annonaceae,Accepted by TPL
Mischopleura,Ericaceae,Unresolved at TPL
Miscolobium,Fabaceae,Unresolved at TPL
Misodendraceae,Misodendraceae,Accepted by TPL
Misodendrum,Misodendraceae,Accepted by TPL
Misopates,Plantaginaceae,Accepted by TPL
Mistyllus,Fabaceae,Unresolved at TPL
Mitchella,Rubiaceae,Accepted by TPL
Mitella,Saxifragaceae,Accepted by TPL
Mitellopsis,Saxifragaceae,Unresolved at TPL
Mitesia,Polygonaceae,Unresolved at TPL
Mithridatea,Monimiaceae,Unresolved at TPL
Mitina,Asteraceae,Unresolved at TPL
Mitolepis,Apocynaceae,Unresolved at TPL
Mitostax,Fabaceae,Unresolved at TPL
Mitostemma,Passifloraceae,Accepted by TPL
Mitostigma,Apocynaceae,Accepted by TPL
Mitracarpus,Rubiaceae,Accepted by TPL
Mitragyna,Rubiaceae,Accepted by TPL
Mitragyne,Loganiaceae,Unresolved at TPL
Mitranthes,Myrtaceae,Accepted by TPL
Mitranthus,Scrophulariaceae,Unresolved at TPL
Mitrantia,Myrtaceae,Accepted by TPL
Mitraria,Gesneriaceae,Accepted by TPL
Mitrasacme,Loganiaceae,Accepted by TPL
Mitrasacmopsis,Rubiaceae,Accepted by TPL
Mitrastemma,Mitrastemonaceae,Unresolved at TPL
Mitrastemon,Mitrastemonaceae,Accepted by TPL
Mitrastemonaceae,Mitrastemonaceae,Accepted by TPL
Mitrella,Annonaceae,Accepted by TPL
Mitreola,Loganiaceae,Accepted by TPL
Mitrephora,Annonaceae,Accepted by TPL
Mitriostigma,Rubiaceae,Accepted by TPL
Mitrobryum,Dicranaceae,Accepted by TPL
Mitrocereus,Cactaceae,Unresolved at TPL
Mitrophyllum,Aizoaceae,Accepted by TPL
Mittenia,Mitteniaceae,Accepted by TPL
Mitteniaceae,Mitteniaceae,Accepted by TPL
Mittenothamnium,Hypnaceae,Accepted by TPL
Mitthyridium,Calymperaceae,Accepted by TPL
Miyabea,Thuidiaceae,Accepted by TPL
Miyakea,Ranunculaceae,Accepted by TPL
Miyamayomena,Asteraceae,Accepted by TPL
Mizutania,Mizutaniaceae,Accepted by TPL
Mizutaniaceae,Mizutaniaceae,Accepted by TPL
Mkilua,Annonaceae,Accepted by TPL
Mnemion,Violaceae,Unresolved at TPL
Mnemosilla,Papaveraceae,Unresolved at TPL
Mnesiteon,Asteraceae,Unresolved at TPL
Mnesithea,Poaceae,Accepted by TPL
Mniaceae,Mniaceae,Accepted by TPL
Mniadelphus,Hookeriaceae,Accepted by TPL
Mniarum,Caryophyllaceae,Accepted by TPL
Mniobryoides,Bryaceae,Accepted by TPL
Mniobryum,Bryaceae,Accepted by TPL
Mniochloa,Poaceae,Accepted by TPL
Mniodendron,Hypnodendraceae,Accepted by TPL
Mniodes,Asteraceae,Accepted by TPL
Mnioloma,Calypogeiaceae,Accepted by TPL
Mniomalia,Phyllodrepaniaceae,Accepted by TPL
Mniopsis,Haplomitriaceae,Unresolved at TPL
Mnium,Calypogeiaceae,Accepted by TPL
Mnium,Mniaceae,Accepted by TPL
Moacroton,Euphorbiaceae,Unresolved at TPL
Mobilabium,Orchidaceae,Accepted by TPL
Mocinia,Asteraceae,Unresolved at TPL
Mocinnodaphne,Lauraceae,Accepted by TPL
Mocquerysia,Achariaceae,Accepted by TPL
Modanthos,Malvaceae,Unresolved at TPL
Modecca,Passifloraceae,Unresolved at TPL
Modesta,Convolvulaceae,Unresolved at TPL
Modiola,Malvaceae,Accepted by TPL
Modiolastrum,Malvaceae,Accepted by TPL
Moehringia,Caryophyllaceae,Accepted by TPL
Moenchia,Caryophyllaceae,Accepted by TPL
Moenkemeyera,Fissidentaceae,Accepted by TPL
Moerckia,Pallaviciniaceae,Accepted by TPL
Moerenhoutia,Orchidaceae,Unresolved at TPL
Moerkensteinia,Asteraceae,Unresolved at TPL
Moghania,Fabaceae,Liu et al.(2015)
Mogiphanes,Amaranthaceae,Unresolved at TPL
Mogoltavia,Apiaceae,Unresolved at TPL
Mohavea,Plantaginaceae,Accepted by TPL
Mohlana,Phytolaccaceae,Unresolved at TPL
Mohria,Anemiaceae,Accepted by TPL
Mokof,Theaceae,Unresolved at TPL
Moldenhauera,Icacinaceae,Unresolved at TPL
Moldenhawera,Fabaceae,Accepted by TPL
Molendoa,Pottiaceae,Accepted by TPL
Molina,Euphorbiaceae,Unresolved at TPL
Molinadendron,Hamamelidaceae,Accepted by TPL
Molinaea,Sapindaceae,Accepted by TPL
Molineria,Hypoxidaceae,Accepted by TPL
Molinia,Poaceae,Accepted by TPL
Moliniopsis,Poaceae,Liu et al.(2015)
Molkenboeria,Goodeniaceae,Unresolved at TPL
Mollia,Malvaceae,Accepted by TPL
Mollia,Pottiaceae,Accepted by TPL
Mollinedia,Monimiaceae,Accepted by TPL
Molloya,Proteaceae,Unresolved at TPL
Molluginaceae,Molluginaceae,Accepted by TPL
Mollugo,Molluginaceae,Accepted by TPL
Molongum,Apocynaceae,Accepted by TPL
Molopanthera,Rubiaceae,Accepted by TPL
Molopospermum,Apiaceae,Accepted by TPL
Molospermum,Apiaceae,Unresolved at TPL
Molpadia,Asteraceae,Unresolved at TPL
Moltkia,Boraginaceae,Accepted by TPL
Moltkiopsis,Boraginaceae,Accepted by TPL
Moluccella,Lamiaceae,Accepted by TPL
Momisia,Cannabaceae,Unresolved at TPL
Momordica,Cucurbitaceae,Accepted by TPL
Mona,Portulacaceae,Accepted by TPL
Monachanthus,Orchidaceae,Unresolved at TPL
Monachather,Poaceae,Accepted by TPL
Monachne,Poaceae,Unresolved at TPL
Monachosorella,Dennstaedtiaceae,Unresolved at TPL
Monachosorum,Dennstaedtiaceae,Accepted by TPL
Monactis,Asteraceae,Accepted by TPL
Monadenium,Euphorbiaceae,Unresolved at TPL
Monandriella,Podostemaceae,Unresolved at TPL
Monanthes,Crassulaceae,Accepted by TPL
Monanthochloe,Poaceae,Accepted by TPL
Monanthocitrus,Rutaceae,Accepted by TPL
Monanthotaxis,Annonaceae,Accepted by TPL
Monarda,Lamiaceae,Accepted by TPL
Monardella,Lamiaceae,Accepted by TPL
Monarrhenus,Asteraceae,Accepted by TPL
Mondia,Apocynaceae,Accepted by TPL
Monechma,Acanthaceae,Accepted by TPL
Monelasmum,Ochnaceae,Accepted by TPL
Monelytrum,Poaceae,Accepted by TPL
Monencyanthes,Asteraceae,Accepted by TPL
Monenteles,Asteraceae,Unresolved at TPL
Moneses,Ericaceae,Accepted by TPL
Monetia,Salvadoraceae,Unresolved at TPL
Moniera,Plantaginaceae,Unresolved at TPL
Moniera,Rutaceae,Unresolved at TPL
Monilaria,Aizoaceae,Accepted by TPL
Monilistus,Salicaceae,Unresolved at TPL
Monimia,Monimiaceae,Unresolved at TPL
Monimiaceae,Monimiaceae,Accepted by TPL
Monimiopsis,Monimiaceae,Unresolved at TPL
Monimopetalum,Celastraceae,Accepted by TPL
Monizia,Apiaceae,Accepted by TPL
Monnina,Polygalaceae,Accepted by TPL
Monocarpaceae,Monocarpaceae,Accepted by TPL
Monocarpia,Annonaceae,Accepted by TPL
Monocarpus,Monocarpaceae,Unresolved at TPL
Monocelastrus,Celastraceae,Liu et al.(2015)
Monocephalium,Icacinaceae,Unresolved at TPL
Monocera,Elaeocarpaceae,Unresolved at TPL
Monochaetum,Melastomataceae,Accepted by TPL
Monochasma,Orobanchaceae,Accepted by TPL
Monochilus,Lamiaceae,Accepted by TPL
Monochlaena,Dryopteridaceae,Accepted by TPL
Monochoria,Pontederiaceae,Accepted by TPL
Monocladus,Poaceae,Liu et al.(2015)
Monoclea,Monocleaceae,Accepted by TPL
Monocleaceae,Monocleaceae,Accepted by TPL
Monococcus,Phytolaccaceae,Unresolved at TPL
Monocosmia,Portulacaceae,Unresolved at TPL
Monocostus,Costaceae,Accepted by TPL
Monocranum,Dicnemonaceae,Accepted by TPL
Monocryphaea,Cryphaeaceae,Accepted by TPL
Monoculus,Asteraceae,Accepted by TPL
Monocyclanthus,Annonaceae,Accepted by TPL
Monocymbium,Poaceae,Accepted by TPL
Monodactylopsis,Lepidoziaceae,Accepted by TPL
Monodia,Poaceae,Accepted by TPL
Monodora,Annonaceae,Accepted by TPL
Monogereion,Asteraceae,Accepted by TPL
Monogonia,Thelypteridaceae,Accepted by TPL
Monogramma,Pteridaceae,Accepted by TPL
Monogynella,Convolvulaceae,Accepted by TPL
Monolena,Melastomataceae,Accepted by TPL
Monolepis,Amaranthaceae,Accepted by TPL
Monolluma,Apocynaceae,Accepted by TPL
Monolophus,Zingiberaceae,Liu et al.(2015)
Monolopia,Asteraceae,Accepted by TPL
Monomelangium,Athyriaceae,Accepted by TPL
Monomeria,Orchidaceae,Accepted by TPL
Monoon,Annonaceae,Unresolved at TPL
Monopera,Plantaginaceae,Accepted by TPL
Monopetalanthus,Fabaceae,Accepted by TPL
Monopholis,Asteraceae,Accepted by TPL
Monophyllaea,Gesneriaceae,Accepted by TPL
Monophyllanthe,Marantaceae,Accepted by TPL
Monophyllorchis,Orchidaceae,Accepted by TPL
Monoporandra,Dipterocarpaceae,Unresolved at TPL
Monoporidium,Ochnaceae,Unresolved at TPL
Monoporus,Primulaceae,Accepted by TPL
Monopsis,Campanulaceae,Accepted by TPL
Monopteris,Sapindaceae,Unresolved at TPL
Monopteryx,Fabaceae,Accepted by TPL
Monoptilon,Asteraceae,Accepted by TPL
Monopyle,Gesneriaceae,Accepted by TPL
Monosalpinx,Rubiaceae,Accepted by TPL
Monosemeion,Fabaceae,Unresolved at TPL
Monosepalum,Orchidaceae,Unresolved at TPL
Monosis,Asteraceae,Accepted by TPL
Monosoleniaceae,Monosoleniaceae,Accepted by TPL
Monosolenium,Monosoleniaceae,Accepted by TPL
Monostemma,Apocynaceae,Unresolved at TPL
Monostichanthus,Annonaceae,Unresolved at TPL
Monostylis,Podostemaceae,Accepted by TPL
Monotagma,Marantaceae,Accepted by TPL
Monotaxis,Euphorbiaceae,Accepted by TPL
Monoteles,Fabaceae,Unresolved at TPL
Monotes,Dipterocarpaceae,Accepted by TPL
Monothecium,Acanthaceae,Accepted by TPL
Monothrix,Asteraceae,Unresolved at TPL
Monothylaceum,Apocynaceae,Unresolved at TPL
Monotoca,Ericaceae,Unresolved at TPL
Monotrema,Rapateaceae,Accepted by TPL
